mopsTotal,time,maquina,opt,compiler,test,class
834.46,201.67,641,none,gnu,bt,1A
3373.50,49.88,641,o3,gnu,bt,1A
3018.81,55.75,641,none,intel,bt,1A
3846.63,43.75,641,o3,intel,bt,1A
803.13,209.53,662,none,gnu,bt,1A
3114.14,54.04,662,o3,gnu,bt,1A
2891.32,58.20,662,none,intel,bt,1A
3785.93,44.45,662,o3,intel,bt,1A
831.44,844.53,641,none,gnu,bt,2B
3031.72,231.61,641,o3,gnu,bt,2B
3217.90,218.21,641,none,intel,bt,2B
3721.70,188.67,641,o3,intel,bt,2B
816.53,859.96,662,none,gnu,bt,2B
3023.99,232.20,662,o3,gnu,bt,2B
3348.89,209.68,662,none,intel,bt,2B
3590.41,195.57,662,o3,intel,bt,2B
890.67,3218.12,641,none,gnu,bt,3C
3153.73,908.85,641,o3,gnu,bt,3C
3225.35,888.67,641,none,intel,bt,3C
2966.17,966.32,641,o3,intel,bt,3C
836.70,3425.69,662,none,gnu,bt,3C
2988.43,959.13,662,o3,gnu,bt,3C
3389.25,845.70,662,none,intel,bt,3C
3326.06,861.76,662,o3,intel,bt,3C
664.30,11.62,641,none,gnu,bt,0W
3719.47,2.08,641,o3,gnu,bt,0W
3414.28,2.26,641,none,intel,bt,0W
4491.79,1.72,641,o3,intel,bt,0W
789.31,9.78,662,none,gnu,bt,0W
2855.38,2.70,662,o3,gnu,bt,0W
3141.93,2.46,662,none,intel,bt,0W
4184.70,1.84,662,o3,intel,bt,0W
20.40,26.32,641,none,gnu,ep,1A
36.97,14.52,641,o3,gnu,ep,1A
62.11,8.64,641,none,intel,ep,1A
79.41,6.76,641,o3,intel,ep,1A
24.82,21.63,662,none,gnu,ep,1A
27.02,19.87,662,o3,gnu,ep,1A
57.31,9.37,662,none,intel,ep,1A
75.43,7.12,662,o3,intel,ep,1A
20.41,105.20,641,none,gnu,ep,2B
38.13,56.32,641,o3,gnu,ep,2B
62.14,34.56,641,none,intel,ep,2B
79.38,27.05,641,o3,intel,ep,2B
25.03,85.79,662,none,gnu,ep,2B
28.36,75.73,662,o3,gnu,ep,2B
57.23,37.52,662,none,intel,ep,2B
74.36,28.88,662,o3,intel,ep,2B
20.40,421.05,641,none,gnu,ep,3C
38.21,224.80,641,o3,gnu,ep,3C
61.75,139.12,641,none,intel,ep,3C
79.40,108.18,641,o3,intel,ep,3C
24.41,351.88,662,none,gnu,ep,3C
35.89,239.37,662,o3,gnu,ep,3C
57.32,149.86,662,none,intel,ep,3C
75.67,113.52,662,o3,intel,ep,3C
20.37,3.29,641,none,gnu,ep,0W
37.29,1.80,641,o3,gnu,ep,0W
61.68,1.09,641,none,intel,ep,0W
78.22,0.86,641,o3,intel,ep,0W
25.05,2.68,662,none,gnu,ep,0W
26.78,2.51,662,o3,gnu,ep,0W
57.11,1.18,662,none,intel,ep,0W
74.41,0.90,662,o3,intel,ep,0W
60.03,1.40,641,none,gnu,is,1A
111.78,0.75,641,o3,gnu,is,1A
60.98,1.38,641,none,intel,is,1A
116.09,0.72,641,o3,intel,is,1A
54.87,1.53,662,none,gnu,is,1A
82.16,1.02,662,o3,gnu,is,1A
85.29,0.98,662,none,intel,is,1A
82.72,1.01,662,o3,intel,is,1A
58.09,5.78,641,none,gnu,is,2B
106.59,3.15,641,o3,gnu,is,2B
86.95,3.86,641,none,intel,is,2B
107.78,3.11,641,o3,intel,is,2B
53.11,6.32,662,none,gnu,is,2B
77.92,4.31,662,o3,gnu,is,2B
78.72,4.26,662,none,intel,is,2B
76.40,4.39,662,o3,intel,is,2B
54.28,24.72,641,none,gnu,is,3C
63.72,21.06,641,o3,gnu,is,3C
78.27,17.15,641,none,intel,is,3C
97.42,13.78,641,o3,intel,is,3C
63.59,21.11,662,none,gnu,is,3C
69.47,19.32,662,o3,gnu,is,3C
70.65,19.00,662,none,intel,is,3C
70.90,18.93,662,o3,intel,is,3C
88.57,0.12,641,none,gnu,is,0W
176.97,0.06,641,o3,gnu,is,0W
189.81,0.06,641,none,intel,is,0W
248.02,0.04,641,o3,intel,is,0W
77.57,0.14,662,none,gnu,is,0W
157.77,0.07,662,o3,gnu,is,0W
168.67,0.06,662,none,intel,is,0W
168.03,0.06,662,o3,intel,is,0W
641.08,186.09,641,none,gnu,lu,1A
3751.75,31.80,641,o3,gnu,lu,1A
2776.87,42.96,641,none,intel,lu,1A
2915.08,40.92,641,o3,intel,lu,1A
606.36,196.74,662,none,gnu,lu,1A
3706.42,32.19,662,o3,gnu,lu,1A
3871.32,30.82,662,none,intel,lu,1A
3743.16,31.87,662,o3,intel,lu,1A
624.31,799.00,641,none,gnu,lu,2B
3594.71,138.77,641,o3,gnu,lu,2B
2814.81,177.21,641,none,intel,lu,2B
2827.63,176.41,641,o3,intel,lu,2B
587.02,849.76,662,none,gnu,lu,2B
3358.44,148.53,662,o3,gnu,lu,2B
3488.82,142.98,662,none,intel,lu,2B
3343.94,149.17,662,o3,intel,lu,2B
590.09,3455.39,641,none,gnu,lu,3C
3404.66,598.88,641,o3,gnu,lu,3C
3243.13,628.71,641,none,intel,lu,3C
3087.01,660.51,641,o3,intel,lu,3C
615.55,3312.51,662,none,gnu,lu,3C
3411.69,597.65,662,o3,gnu,lu,3C
3432.06,594.10,662,none,intel,lu,3C
3307.62,616.46,662,o3,intel,lu,3C
650.51,27.76,641,none,gnu,lu,0W
4051.38,4.46,641,o3,gnu,lu,0W
3295.36,5.48,641,none,intel,lu,0W
3196.40,5.65,641,o3,intel,lu,0W
611.26,29.55,662,none,gnu,lu,0W
3783.32,4.77,662,o3,gnu,lu,0W
3969.63,4.55,662,none,intel,lu,0W
3890.74,4.64,662,o3,intel,lu,0W
